"Gestao2_MUNICIPAL"	"Gestao2_MUNICIPAL.SP"	"logPropLeitosSUS"	"Percent_SUS_Total"	"Porte_MEDIO"	"Porte_PEQUENO"	"TipoGestao2_Direta"	"TipoGestao2_Santa.Casa"	"TipoGestao2_Terceirizada"	"Total_Leitos"
0	0	0.2879647445532	-0.270377878290915	0	0	0	0	1	6.9260543433227
1	0	1.99563519459755	0	0	0	0	0	1	7.23301230000277
1	0	-0.654837782378025	-0.444752022007045	1	0	0	1	0	5.89584877519623
1	0	0.376628355894598	-0.241682436985975	1	0	0	1	0	5.33674686838559
0	0	1.99563519459755	0	1	0	0	0	1	5.80073077972058
1	0	0.187925628404413	-0.302049698152734	0	1	0	0	1	4.66478780211682
1	0	0.138453941240038	-0.317083946542061	0	1	0	1	0	4.09730738355542
1	0	0.285797867381573	-0.271075722387385	1	0	0	1	0	6.4488977228389
0	0	1.37742693622731	-0.0302938217064916	0	0	0	0	1	7.82602457966007
1	0	1.06069784035361	-0.0683821379854556	0	0	0	0	1	6.82701720574111
1	0	1.99563519459755	0	1	0	0	0	1	5.27161296707144
1	0	0.272476957755899	-0.27535776109253	0	0	0	1	0	6.9864646463425
1	0	1.99563519459755	0	1	0	0	0	1	5.13331440538915
1	0	1.21217636213472	-0.0473574553192469	1	0	0	0	1	5.53750871473204
0	0	0.862654249298175	-0.105313866208236	1	0	0	0	1	5.10911994691164
1	0	1.99563519459755	0	0	1	0	0	0	4.30969081105257
1	0	0.31662424014847	-0.261121887096987	1	0	0	1	0	5.62974617752125
0	0	-0.217222399802567	-0.402010772494122	1	0	0	1	0	5.49918987548339
1	0	0.78597046205571	-0.122764139385422	0	1	0	0	1	4.05115826483647
1	0	0.217222399802567	-0.29291866095294	0	1	0	0	1	4.46125549591926
1	0	0.449755070503296	-0.21818817254906	0	1	0	0	1	4.26943588457652
1	0	0.543788904877204	-0.188926015130755	1	0	0	0	1	5.05965854614924
1	0	1.99563519459755	0	0	1	0	0	0	2.92392220780832
1	0	1.99563519459755	0	0	1	0	0	1	3.49282847673564
1	0	-0.040563614944172	-0.365687794846627	0	1	0	1	0	3.55882106693848
0	0	-0.0173740960694227	-0.360006526228287	0	1	0	0	1	4.75773161594553
0	0	-0.771474510457626	-0.448766580149752	1	0	0	0	1	5.49918987548339
1	0	0.405398801375146	-0.232391942708346	0	1	0	1	0	3.35141362540314
0	0	-0.346832628834946	-0.420849828914922	1	0	0	1	0	5.10911994691164
1	0	1.99563519459755	0	0	1	0	0	0	4.26943588457652
1	0	0.157296085934382	-0.311421360969864	1	0	0	1	0	5.73433146226548
1	0	0.0737386172357567	-0.335830298989589	1	0	0	1	0	5.51845573915362
